# 示例数据：车队GPS轨迹（深圳-惠州干线，3辆车，15分钟采样）
timestamp,lat,lon,speed,load,vehicle_type,fuel_type,vehicle_id
2026-06-10 08:00:00,22.63340,114.33245,38,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 08:15:00,22.72381,114.44744,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 08:30:00,22.79391,114.53642,48,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 08:45:00,22.83687,114.60794,35,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 09:00:00,22.92074,114.72262,60,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 09:15:00,22.97175,114.78769,35,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 09:30:00,23.04004,114.89969,55,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 09:45:00,23.11442,114.99774,52,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 10:00:00,23.16454,115.06371,35,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 10:15:00,23.24798,115.18520,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 10:30:00,23.31310,115.25965,42,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 10:45:00,23.38495,115.35381,50,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 11:00:00,23.45907,115.46168,55,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 11:15:00,23.55467,115.57231,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 11:30:00,23.63762,115.69456,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 11:45:00,23.71191,115.80249,55,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 12:00:00,23.77930,115.91577,55,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 12:15:00,23.83203,115.98924,38,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 12:30:00,23.90082,116.09261,52,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 12:45:00,23.98151,116.19513,55,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 13:00:00,24.05789,116.32280,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 13:15:00,24.12484,116.42778,52,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 13:30:00,24.21279,116.54632,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 13:45:00,24.26419,116.62116,38,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 14:00:00,24.31291,116.68896,35,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 14:15:00,24.37586,116.79709,52,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 14:30:00,24.43815,116.89387,48,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 14:45:00,24.49043,116.98026,42,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 15:00:00,24.58033,117.09736,62,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 15:15:00,24.63978,117.17806,42,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 15:30:00,24.69372,117.25096,38,18.5,重型柴油车,diesel,粤B·D8261
2026-06-10 15:45:00,24.73924,117.33055,38,18.5,重型柴油车,diesel,粤B·D8261
